Church Name,Phone Number,Zip Code,Address,Denomination,State,URL
United Methodist Presbyterian Church,573-684-2688,63384,"400 Clay St, Wellsville, MO, 63384",Methodist,MO,
Wellsville Bible Church,573-684-2391,63384,"115 W Hudson St, Wellsville, MO, 63384",Nondenominational,MO,
Wellsville Federated Church,573-684-2330,63384,"404 N 1st St, Wellsville, MO, 63384",United Methodist,MO,
Wellsville First Baptist Church,573-684-2259,63384,"300 E Bates St, Wellsville, MO, 63384",Southern Baptist,MO,
2Rivers Church,636.625.2223,63367,"100 Centre On The Lake, Lake St Louis, MO, 63367",Nondenominational,MO,
Agape Church,636-327-5632,63385,"140 N Pointe Prairie Rd, Wentzville, MO, 63385",Nondenominational,MO,
Central Baptist Church,636-327-4905,63385,"707 E Koenig St, Wentzville, MO, 63385",Interdenominational,MO,
Christian Family Fellowship Baptist Church,636-327-4293,63385,"505 Linda Ln, Wentzville, MO, 63385",Southern Baptist,MO,
Church Of Christ,636-327-8418,63385,"402 S Linn Ave, Wentzville, MO, 63385",Church of Christ,MO,
Church Of The Nazarene,636-240-4041,63385,"950 Corporate Pkwy Ste 100, Wentzville, MO, 63385",Nazarene,MO,
Crossroads Baptist Church,636-791-1190,63385,"1205 Duello Road, Wentzville, MO, 63385",Baptist,MO,
Crossroads Family Church,636-332-6900,63385,"PO Box 839, Wentzville, MO, 63385",Other,MO,
Crossroads Free Will Baptist Church,636-327-7319,63385,"2349 W Pearce Blvd, Wentzville, MO, 63385",Baptist,MO,
Element Church,(636) 332-9010,63385,"100 Mall Parkway Suite 500, Wentzville, MO, 63385",Charismatic,MO,
Faith United Church Of Christ,636-327-4795,63385,"106 Kent Dr, Wentzville, MO, 63385",United Church of Christ,MO,
First United Pentecostal Church,636-327-5363,63385,"452 May Rd, Wentzville, MO, 63385",United Pentecostal,MO,
Gateway Church,636-327-0879,63385,"807 E Pearce Blvd, Wentzville, MO, 63385",Interdenominational,MO,
Immanuel Lutheran Church,636-327-4416,63385,"317 W Pearce Blvd, Wentzville, MO, 63385",Lutheran - Missouri Synod,MO,
New Community Fellowship,636-327-4484,63385,"308 E Koenig St, Wentzville, MO, 63385",Plymouth Brethren,MO,
New Hope Baptist Church,636-327-7559,63385,"2225 W Meyer Rd, Wentzville, MO, 63385",Baptist,MO,
New Life Foursquare Church,636-947-6292,63385,"2221 Colter Ct, Wentzville, MO, 63385",Foursquare Gospel,MO,
New Vision Church,636-278-4682,63385,"Lakeview Elementary, 2501 Mexico Rd, Wentzville, MO, 63385",Nondenominational,MO,
NEW VISION COMMUNITY CHURCH,314-267-2236,63385,"1888 andros ct., Lake St Louis, MO, 63385",Other,MO,
RiverOaks Church,636-327-7075,63385,"1155 Wentzville Parkway, Suite 135, Wentzville, MO, 63385",Nondenominational,MO,
Whiteside Baptist Church,573-485-2382,63387,"PO Box 38, Whiteside, MO, 63387",Southern Baptist,MO,
Whiteside Presbyterian Church,573-485-4225,63387,"PO Box 87, Whiteside, MO, 63387",Presbyterian Church (U.S.A.),MO,
Whiteside Presbyterian Church,573-485-3838,63387,"208 Church St, Whiteside, MO, 63387",Presbyterian Church (U.S.A.),MO,
Bethel United Methodist Church,573-254-3690,63388,"9500 Osage Ct, Williamsburg, MO, 63388",United Methodist,MO,
Old Auxvasse 9 Mi Presbyterian Church,573-254-3398,63388,"PO Box 52, Williamsburg, MO, 63388",Presbyterian Church (U.S.A.),MO,
Calvary Assembly Of God,636-668-8804,63389,"PO Box 58, Winfield, MO, 63389",Assemblies of God,MO,
Calvary Assembly Of God Church,636-667-8804,63389,"97 Boyd Rd, Winfield, MO, 63389",Assemblies of God,MO,
New Galilee Christian Church,636-528-7268,63389,"1769 E Highway 47, Winfield, MO, 63389",Church of Christ,MO,
New Salem Baptist Church,636-668-8108,63389,"1383 Highway Ee, Winfield, MO, 63389",Southern Baptist,MO,
Wesley Chapel United Methodist Church,573-248-0725,63389,"PO Box 296, Winfield, MO, 63389",United Methodist,MO,
Winfield First Baptist Church,636-668-8138,63389,"PO Box 105, Winfield, MO, 63389",Southern Baptist,MO,
Church Of The Nazarene,636-745-3821,63390,"521 W Service Rd N, Wright City, MO, 63390",Nazarene,MO,
Good Shepherd Lutheran Church,636-745-2947,63390,"PO Box 44, Wright City, MO, 63390",Lutheran - Missouri Synod,MO,
Immanuel,636-745-2614,63390,"396 Greenleaf Ct, Wright City, MO, 63390",Baptist,MO,
Immanuel United Church Of Christ,636-745-3864,63390,"PO Box 151, Wright City, MO, 63390",United Church of Christ,MO,
Open Hearts Church,636-745-3271,63390,"70 Bell Rd, Wright City, MO, 63390",United Methodist,MO,
Sharon Primitive Baptist Church,636-861-1930,63390,"34 W Highway M, Wright City, MO, 63390",Baptist,MO,
Westwoods Assembly Of God Church,636-745-3637,63390,"PO Box 423, Wright City, MO, 63390",Assemblies of God,MO,
Wright City First Baptist Church,636-745-2446,63390,"PO Box 317, Wright City, MO, 63390",Southern Baptist,MO,
Christ In City Christian Church,314-231-0273,63101,"1121 N 9th St, St Louis, MO, 63101",Christian (Disciples of Christ),MO,
Gateway Mosque,314-534-9672,63101,"3843 W Pine St, St Louis, MO, 63101",Muslim,MO,
St Patrick Church,314-231-9991,63101,"1000 N 7th St, St Louis, MO, 63101",Roman Catholic,MO,
St Louis King France Church,314-231-3250,63102,"209 Walnut St, St Louis, MO, 63102",Roman Catholic,MO,
St Mary Victories Church,314-231-8101,63102,"744 S 3rd St, St Louis, MO, 63102",Roman Catholic,MO,
Centenary United Methodist Church,314-421-3136,63103,"1610 Olive St, St Louis, MO, 63103",United Methodist,MO,
Central Baptist Church,314-533-0747,63103,"2842 Washington Ave, St Louis, MO, 63103",Baptist,MO,
Christ Church Cathedral,314-231-3454,63103,"1210 Locust St Stop 1, St Louis, MO, 63103",Episcopal,MO,
Episcopal City Mission,314-436-3545,63103,"1210 Locust St # 310, St Louis, MO, 63103",Nondenominational,MO,
Inspired Souls Praise & Worship Center,314-456-2485,63113,"1905 Union Blvd, St Louis, MO, 63113",Other,MO,
Jamison Memorial Christian Methodist Episcopal Church,314-533-2440,63103,"609 N Leffingwell Ave, St Louis, MO, 63103",Christian Methodist Episcopal,MO,
Missionary Baptist Church,314-533-5374,63103,"3200 Washington Ave, St Louis, MO, 63103",Baptist,MO,
Rescued Church,314-258-1596,63108,"4156 Washington Blvd., St Louis, MO, 63108",Nondenominational,MO,
St John Apostle Church,314-421-3467,63103,"15 Plaza Sq, St Louis, MO, 63103",Roman Catholic,MO,
St Louis Powerhouse Church,314-436-3055,63103,"1913 Washington Ave, St Louis, MO, 63103",Interdenominational,MO,
St Louis Third Baptist Church,314-533-7340,63103,"620 N Grand Blvd, St Louis, MO, 63103",Southern Baptist,MO,
St Nicholas Church,314-231-2860,63103,"701 N 18th St, St Louis, MO, 63103",Roman Catholic,MO,
St Thomas-Deaf Episcopal Church,314-421-2685,63103,"1210 Locust St, St Louis, MO, 63103",Episcopal,MO,
The Salvation Army,314-652-3310,63103,"3010 Washington Ave, St Louis, MO, 63103",Salvation Army,MO,
Washington Metro African Methodist Episcopal Zion,314-533-0316,63103,"613 N Garrison Ave, St Louis, MO, 63103",African Methodist Episcopal,MO,
Washington Tabernacle Missionary Baptist Church,314-533-8763,63103,"3200 Washington Ave., St. Louis, Missouri, 63103",Baptist,MO,
Apostolic Church Jesus Christ,314-588-8403,63104,"2035 Park Ave, St Louis, MO, 63104",Apostolic,MO,
Believers Chapel Of St Louis,314-865-3194,63104,"2127 California Ave, St Louis, MO, 63104",Interdenominational,MO,
Berea Presbyterian Church,314-772-1810,63104,"2621 Russell Blvd, St Louis, MO, 63104",Presbyterian Church (U.S.A.),MO,
Berea Temple,314-664-0608,63104,"3224 Russell Blvd, St Louis, MO, 63104",Assemblies of God,MO,
Chapel Of New Hope Church,314-865-4294,63104,"2706 Armand Pl, St Louis, MO, 63104",Nondenominational,MO,
Christ Lutheran Church,314-776-0248,63104,"3504 Caroline St, St Louis, MO, 63104",Lutheran - Missouri Synod,MO,
Church Of Jesus Christ Pentecostal Apostolic,314-772-8080,63104,"2141 S Jefferson Ave, St Louis, MO, 63104",Pentecostal,MO,
Church Of Latter Day Saints,314-664-1960,63104,"2344 Arkansas Ave, St Louis, MO, 63104",Mormon,MO,
Compton Heights Christian Church (Disciples of Christ),314-771-5071,63104,"2149 S Grand Blvd, St Louis, MO, 63104",Christian (Disciples of Christ),MO,
Compton Hill Missionary Baptist Church,314-771-7971,63104,"3141 Lasalle St, St Louis, MO, 63104",Missionary Baptist,MO,
Compton Hts Christian Church,314-771-5071,63104,"2149 S Grand Blvd, St Louis, MO, 63104",Christian (Disciples of Christ),MO,
Emmaus Lutheran Church,314-776-1274,63104,"2241 South Jefferson Ave, St Louis, MO, 63104",Lutheran - Missouri Synod,MO,
Full Gospel Assembly Church,314-771-1020,63104,"2123 Park Ave, St Louis, MO, 63104",Interdenominational,MO,
Full Gospel Pentecostal Assembly,314-772-2127,63104,"901 Lami St, St Louis, MO, 63104",Interdenominational,MO,
Gateway Tabernacle Assembly Of God Church,314-776-1297,63104,"1216 Sidney St, St Louis, MO, 63104",Assemblies of God,MO,
Gateway Temple Chr-St Louis,314-664-1878,63104,"2345 Lafayette Ave, St Louis, MO, 63104",Nondenominational,MO,
Glory To Glory Christian Church - UCC,314-932-2259,63104,"1920 South 7th Street, St Louis, MO, 63104",United Church of Christ,MO,
Greater House Of Prayer,314-773-7168,63104,"3116 Saint Vincent Ave, St Louis, MO, 63104",Other,MO,
Harvest Church Of God,314-421-6862,63104,"1266 Gravois Ave, St Louis, MO, 63104",Church of God (Cleveland TN),MO,
Higher Heights Deliverance COGIC,(314) 776-2996,63104,"2127 California Ave., St Louis, MO, 63104",Church of God in Christ,MO,
Abyssinian Baptist Church,314-621-2373,63106,"2126 Saint Louis Ave, St Louis, MO, 63106",Baptist,MO,
Archdiocese St Louis Cath Aids,314-531-5840,63106,"1118 N Grand Blvd, St Louis, MO, 63106",Roman Catholic,MO,
Betheseda Fellowship,314-535-5336,63106,"2823 Dayton St, St Louis, MO, 63106",Mennonite,MO,
Bethlehem Baptist Church,314-533-2474,63106,"3500 Cass Ave, St Louis, MO, 63106",Baptist,MO,
Bibleway Church Of Christ,314-241-0451,63106,"2223 Saint Louis Ave, St Louis, MO, 63106",Pentecostal,MO,
Calvary Missionary Baptist Church,314-533-8187,63106,"2822 Dr Martin Luther King Dr, St Louis, MO, 63106",National Baptist,MO,
Calvary Worship Experience (Calvary Café),217-521-1771,63106,"14th Street Artist Community, 2701 14th St.,, St Louis, MO, 63106",Nondenominational,MO,
Eastern Star Baptist Church,314-533-4447,63106,"3117 Saint Louis Ave, St Louis, MO, 63106",Baptist,MO,
Everlasting Life Baptist Church,314-533-8518,63106,"2900 Gamble St, St Louis, MO, 63106",Baptist,MO,
Faith Temple Pentecostal Church,314-533-0999,63106,"3514 Evans Ave, St Louis, MO, 63106",Pentecostal,MO,
First Baptist Church St Louis Cy,314-533-8003,63106,"3100 Bell Ave, St Louis, MO, 63106",Baptist,MO,
Greater Bible Way Community Church,314-241-2401,63106,"2240 Saint Louis Ave, St Louis, MO, 63106",Interdenominational,MO,
Greater Leonard Baptist Church,314-421-5288,63106,"2505 N 11Th St, St Louis, MO, 63106",Baptist,MO,
Greater Paradise,314-534-7014,63106,"1428 N Garrison Ave, St Louis, MO, 63106",Baptist,MO,
Jehovahs Witnesses,314-534-7122,63106,"2428 N Grand Blvd, St Louis, MO, 63106",Jehovah's Witnesses,MO,
Leonard Missionary Baptist Church,314-534-1967,63106,"1100 North Compton Avenue @ Rev. Steven G. Thompson Drive, St Louis, MO, 63106",Missionary Baptist,MO,
Masjid Al Muminun,314-531-5414,63106,"1434 N Grand Blvd, St Louis, MO, 63106",Muslim,MO,
Missionary Baptist Deborah Church,314-531-7177,63106,"2605 Howard St, St Louis, MO, 63106",Other,MO,
Mount Olive Baptist Church,314-535-4586,63106,"2912 Saint Louis Ave, St Louis, MO, 63106",Baptist,MO,
New Bethesda Temple,314-531-5584,63106,"1701 N Grand Blvd, St Louis, MO, 63106",Nondenominational,MO,
Ahmads Temple Of Truth,314-531-6050,63107,"2942 University St, St Louis, MO, 63107",Nondenominational,MO,
Bethlehem Church Of God,314-588-1350,63107,"2154 Bremen Ave, St Louis, MO, 63107",Pentecostal,MO,
Bethlehem Lutheran Church,314-231-9615,63107,"2153 Salisbury St, St Louis, MO, 63107",Lutheran - Missouri Synod,MO,
Bible Way Nazarene Church,314-535-7752,63107,"4250 N 20th St, St Louis, MO, 63107",Nazarene,MO,
Cephas Christian Church,314-588-1500,63107,"1908 Newhouse, St Louis, MO, 63107",Christian (Disciples of Christ),MO,
Christian Fellowship Church,314-652-0949,63107,"3721 Kossuth Ave, St Louis, MO, 63107",Baptist,MO,
Christian Love Missionary Baptist,314-531-2707,63107,"2917 Kossuth Ave, St Louis, MO, 63107",Baptist,MO,
Church Of Lord Jesus Christ,314-385-8778,63107,"2100 E Warne Ave, St Louis, MO, 63107",Apostolic,MO,
Emmanuel Water Tower Christian Ministries,314-534-0633,63107,"2125 Bissell St, St Louis, MO, 63107",Southern Baptist,MO,
Enterprise God Lee,314-531-5512,63107,"3121 N Grand Blvd, St Louis, MO, 63107",Interdenominational,MO,
Fourth Baptist Church,314-421-4481,63107,"2901 N 13Th St, St Louis, MO, 63107",Southern Baptist,MO,
Friedens United Church Of Christ,314-421-4075,63107,"1908 Newhouse Ave, St Louis, MO, 63107",United Church of Christ,MO,
Good Samaritan Missionary Baptist Church,314-588-9350,63107,"2508 Salisbury St, St Louis, MO, 63107",Interdenominational,MO,
Grace Baptist Church,314-621-1977,63107,"4001 N 11Th St, St Louis, MO, 63107",Southern Baptist,MO,
House Of God Which Is Livng God,314-621-2212,63107,"4032 N 22nd St, St Louis, MO, 63107",Other,MO,
Howard House Of Prayer,314-531-8338,63107,"1921 Penrose St, St Louis, MO, 63107",Nondenominational,MO,
Jubilee Christian Development,314-533-5400,63107,"3118 N Grand Blvd, St Louis, MO, 63107",Interdenominational,MO,
Jubilee Community Evangelical Free Church,314-533-8313,63107,"3108 N Grand Blvd, St Louis, MO, 63107",Evangelical Free,MO,
Ladies Full Gospel Fellow,314-241-3273,63107,"3427 N 14th St, St Louis, MO, 63107",Interdenominational,MO,
Life Victory Center Inc,314-531-2422,63107,"2922 N Grand Blvd, St Louis, MO, 63107",Interdenominational,MO,
Bethlehem Baptist Church,314-652-6421,63108,"4168 W Belle Pl, St Louis, MO, 63108",Baptist,MO,
Cathedral Basilica Of St Louis,314-373-8208,63108,"4431 Lindell, St Louis, MO, 63108",Roman Catholic,MO,
Catholic Center,314-533-1887,63108,"4445 Lindell Blvd, St Louis, MO, 63108",Roman Catholic,MO,
Central Reform Congregation,314-361-3919,63108,"5020 Waterman Blvd, St Louis, MO, 63108",Jewish,MO,
Christ Temple First Church,314-361-0866,63108,"532 N Taylor Ave, St Louis, MO, 63108",Nondenominational,MO,
Christian Science Church,314-367-3527,63108,"5000 Westminster Pl, St Louis, MO, 63108",Christian Science,MO,
Cornerstone Baptist Church,314-367-8000,63108,"4700 Washington Blvd, St Louis, MO, 63108",Baptist,MO,
Eternal Light Missionary Baptist Church,314-652-5132,63108,"3913 Delmar Blvd, St Louis, MO, 63108",Interdenominational,MO,
Faith Without Works,314-533-2484,63108,"4417 Olive St, St Louis, MO, 63108",Other,MO,
First Unitarian Church,314-361-0595,63108,"5007 Waterman Blvd, St Louis, MO, 63108",Unitarian,MO,
Galilee Baptist Church,314-531-6390,63108,"4300 Delmar Blvd, St Louis, MO, 63108",Baptist,MO,
Greater Fairfax Baptist Church,314-534-7628,63108,"4005 Washington Blvd, St Louis, MO, 63108",Interdenominational,MO,
Greater True Vine Church,314-367-1815,63108,"4513 Olive St, St Louis, MO, 63108",Other,MO,
Holy Sacrament Lutheran Church,314-371-4243,63108,"4000 W Belle Pl, St Louis, MO, 63108",Lutheran - Missouri Synod,MO,
House Of Faith Fellowship,314-652-1233,63108,"4430 Olive St, St Louis, MO, 63108",Nondenominational,MO,
Lane Tabernacle Christian Methodist Episcopal Church,314-533-0534,63108,"910 N Newstead Ave # 916, St Louis, MO, 63108",Christian Methodist Episcopal,MO,
Leo Brown Jesuit Community,314-367-8013,63108,"5047 Washington Pl, St Louis, MO, 63108",Interdenominational,MO,
Life Cathedral Church,314-361-4549,63108,"500 N Kingshighway Blvd, St Louis, MO, 63108",Nondenominational,MO,
Mercy Seat Baptist Church,314-531-3759,63108,"4424 Washington Blvd, St Louis, MO, 63108",Baptist,MO,
Metropolitan Community Church of Greater St. Louis,314-361-3221,63108,"5000 Washington Place, St Louis, MO, 63108",Community,MO,
Ascension Lutheran Church,314-832-5600,63109,"5347 Donovan Ave, St Louis, MO, 63109",Lutheran - Missouri Synod,MO,
Christian Believers Church,314-818-2001,63109,"6932 Lansdowne Ave, St Louis, MO, 63109",Church of God in Christ,MO,
Church St Thomas The Apostle,314-353-9785,63109,"6500 Murdoch Ave, St Louis, MO, 63109",Russian Orthodox,MO,
Fifth Spiritualist Church Nsac,314-353-4779,63109,"6026 S Kingshighway Blvd, St Louis, MO, 63109",Interdenominational,MO,
Gethsemane Lutheran Church ELCA,314-352-8050,63109,"3600 Hampton Ave, St Louis, MO, 63109",Evangelical Lutheran in America,MO,
Gospel Church,314-353-0984,63109,"5701 Chippewa St, St Louis, MO, 63109",Nondenominational,MO,
Holy Ghost United Church Of Christ,314-352-7008,63109,"4916 Mardel Ave, St Louis, MO, 63109",United Church of Christ,MO,
Hope Lutheran Church,314-352-0014,63109,"5218 Neosho St, St Louis, MO, 63109",Lutheran - Missouri Synod,MO,
Hope United Church Of Christ,314-353-2288,63109,"6273 Eichelberger St, St Louis, MO, 63109",United Church of Christ,MO,
Kingshighway Baptist Church,314-352-4322,63109,"5401 S Kingshighway Blvd, St Louis, MO, 63109",Southern Baptist,MO,
Our Lady Of Sorrows Church,314-351-1600,63109,"5020 Rhodes Ave, St Louis, MO, 63109",Roman Catholic,MO,
Rainbow Covenant Christian Ministries,314-724-2588,63109,"St Louis, MO, 63109",Nondenominational,MO,
Redeemer Evangelical Church,314-481-5511,63109,"6450 S Kingshighway Blvd, St Louis, MO, 63109",Nondenominational,MO,
Southampton Presbyterian Church,314-353-0650,63109,"4716 Macklind Ave, St Louis, MO, 63109",Presbyterian Church (U.S.A.),MO,
St Andrew Presbyterian Church,314-353-0979,63109,"5905 Loughborough Ave, St Louis, MO, 63109",Presbyterian Church (U.S.A.),MO,
St Gabriel The Archangel Church,314-353-6303,63109,"6303 Nottingham Ave, St Louis, MO, 63109",Roman Catholic,MO,
St Mark Episcopal Church,314-832-3588,63109,"4714 Clifton Ave, St Louis, MO, 63109",Episcopal,MO,
St Mary Magdalen Church,314-352-2111,63109,"4924 Bancroft Ave, St Louis, MO, 63109",Roman Catholic,MO,
St Raphael Archangel Church,314-352-8100,63109,"6047 Bishops Pl, St Louis, MO, 63109",Roman Catholic,MO,
Trinity Christian Center,314-752-1015,63109,"4720 Jamieson Ave, St Louis, MO, 63109",Nondenominational,MO,
Bansuk Baptist Church,314-771-3222,63110,"5343 Botanical Ave, St Louis, MO, 63110",Southern Baptist,MO,
Berean Bible Church,(314) 610-9668,63110,"1126 S. Kingshighway Blvd., St Louis, MO, 63110",Southern Baptist,MO,
Blaine Ave Church Of God,314-664-4900,63110,"4200 Blaine Ave, St Louis, MO, 63110",Church of God (Cleveland TN),MO,
Christ Temple On The Rock,314-771-5315,63110,"4265 Shaw Blvd, St Louis, MO, 63110",Pentecostal,MO,
Christ The Good Shepherd Mission,314-664-8132,63110,"2309 Thurman Ave, St Louis, MO, 63110",Russian Orthodox,MO,
Christian Care Fellowship,314-772-5776,63110,"4162 Blaine Ave, St Louis, MO, 63110",Nondenominational,MO,
Christian Care Fellowship,314-865-1124,63110,"1558 Thurman Ave, St Louis, MO, 63110",Nondenominational,MO,
Compton Heights Baptist Church,314-771-6208,63110,"3641 Russell Blvd, St Louis, MO, 63110",Southern Baptist,MO,
Embassy of Heaven,314-781-7781,63110,"1329 Macklind, St Louis, MO, 63110",Pentecostal,MO,
Gibson Hts United Presbyterian Church,314-371-3513,63110,"1075 S Taylor Ave, St Louis, MO, 63110",Presbyterian Church (U.S.A.),MO,
Light of Love Fellowship,6185318930,63110,"2206 S Vandeventer Ave, St Louis, MO, 63110",Nondenominational,MO,
Lighthouse Free Methodist Church,314-531-7525,63110,"1218 Tower Grove Ave, St Louis, MO, 63110",Methodist,MO,
Mid City Baptist Mission,314-535-1258,63110,"3823 Blaine Ave, St Louis, MO, 63110",Southern Baptist,MO,
Mount Olive Lutheran Church,314-771-5714,63110,"4246 Shaw Blvd, St Louis, MO, 63110",Lutheran - Missouri Synod,MO,
New Birth Church,314-533-2633,63110,"1034 S Kingshighway Blvd, St Louis, MO, 63110",Nondenominational,MO,
New Hope Nazarene Church,314-531-1116,63110,"1211 S Newstead Ave, St Louis, MO, 63110",Nazarene,MO,
River Of Life Fellowship St Louis,314-865-5987,63110,"4176 Flad Ave, St Louis, MO, 63110",Evangelical,MO,
Sacred Heart Villa,314-771-2224,63110,"2108 Macklind Ave, St Louis, MO, 63110",Interdenominational,MO,
Southwest Nazarene Church,314-771-6215,63110,"4543 Magnolia Ave, St Louis, MO, 63110",Nazarene,MO,
St Ambrose Church,314-771-1228,63110,"5130 Wilson Ave, St Louis, MO, 63110",Roman Catholic,MO,
Carondelet Baptist Church,314-352-9362,63111,"7301 Virginia Ave, St Louis, MO, 63111",Southern Baptist,MO,
Carondelet United Church Of Christ,314-353-0607,63111,"7423 Michigan Ave, St Louis, MO, 63111",United Church of Christ,MO,
Carondelet-Markham Presbyterian Church,314-353-8096,63111,"6116 Michigan Ave, St Louis, MO, 63111",Presbyterian Church (U.S.A.),MO,
Corinthian Baptist Church,314-353-0252,63111,"6326 Colorado Ave, St Louis, MO, 63111",Baptist,MO,
Diane's House-Teen Challenge of St. Louis,314-352-0056,63111,"3202 Pulaski, St Louis, MO, 63111",Nondenominational,MO,
Dover Place Christian Church (Disciples of Christ),314-353-8023,63111,"701 Dover Place, St Louis, MO, 63111",Christian (Disciples of Christ),MO,
Faith Tabernacle Baptist Church,314-351-3426,63111,"5117 Virginia Ave, St Louis, MO, 63111",Southern Baptist,MO,
Friendship Assembly Of God Church,314-631-7985,63111,"323 Marceau St, St Louis, MO, 63111",Assemblies of God,MO,
God's Harbor Community Church,314-457-0472,63111,"4667 Idaho Ave, St Louis, MO, 63111",Nondenominational,MO,
Jehovahs Witnesses,314-351-5331,63111,"5815 Pennsylvania Ave, St Louis, MO, 63111",Jehovah's Witnesses,MO,
Jewel Baptist Church,314-752-8884,63111,"4618 Minnesota Ave, St Louis, MO, 63111",Southern Baptist,MO,
Mcc Of Greater St Louis,314-361-3221,63111,"4247 S Grand Blvd, St Louis, MO, 63111",Community,MO,
Mellow Memorial United Methodist Church,314-645-8321,63111,"6701 Virginia Ave, St Louis, MO, 63111",United Methodist,MO,
New Journey Baptist Church,314-773-1107,63111,"4555 Virginia Ave, St Louis, MO, 63111",American Baptist,MO,
Saint Trinity Lutheran Church - Missouri Synod,314-353-3276,63111,"7404 Vermont Avenue, St Louis, MO, 63111",Lutheran - Missouri Synod,MO,
Seed Faith Word Fellowship,314-752-5150,63111,"4607 Virginia Ave, St Louis, MO, 63111",Nondenominational,MO,
South Side Church Of Christ,314-353-8500,63111,"4600 S Broadway, St Louis, MO, 63111",Church of Christ,MO,
South Side Free Will Baptist Church,314-351-6032,63111,"3124 Mount Pleasant St, St Louis, MO, 63111",Baptist,MO,
South Side Nazarene Church,314-832-0494,63111,"7100 Virginia Ave, St Louis, MO, 63111",Nazarene,MO,
Southside Pentecostal Church Of God,314-832-1231,63111,"7300 Virginia Ave, St Louis, MO, 63111",Pentecostal,MO,
Bostick Temple Church Of God In Christ,314-261-3766,63112,"1448 Hodiamont Ave, St Louis, MO, 63112",Church of God in Christ,MO,
Cabanne United Methodist Church,314-361-0022,63112,"5760 Bartmer Ave, St Louis, MO, 63112",Methodist,MO,
Christ Deliverance Baptist Church,314-361-0065,63112,"725 Goodfellow Blvd, St Louis, MO, 63112",Southern Baptist,MO,
Christ Southern Missionary Baptist Church,314-381-0504,63112,"5630 Page Blvd, St Louis, MO, 63112",Baptist,MO,
Contemporary Christian Center,636-938-3504,63112,"6101 Delmar Blvd, St Louis, MO, 63112",Interdenominational,MO,
Ezekiel Cathedral Church Of God In Christ,314-385-9898,63112,"2709 Clara Ave, St Louis, MO, 63112",Church of God in Christ,MO,
Faith Deliverance Church,314-389-8431,63112,"1455 Hodiamont Ave, St Louis, MO, 63112",Pentecostal,MO,
Friendly Temple Missionary Baptist,314-367-6206,63112,"5515 Dr Martin Luther King Dr, St Louis, MO, 63112",Baptist,MO,
Friendship Baptist Church,314-383-0408,63112,"1200 Clara Ave, St Louis, MO, 63112",Baptist,MO,
Friendship Missionary Baptist,314-383-3308,63112,"5597 Etzel Ave, St Louis, MO, 63112",Baptist,MO,
Gods Way Pentecostal Church,314-389-1085,63112,"2500 Hodiamont Ave, St Louis, MO, 63112",Pentecostal,MO,
Grace & Peace Presbyterian Church,314-367-8959,63112,"5574 Delmar Blvd, St Louis, MO, 63112",Presbyterian Church in America,MO,
Grace United Methodist Church,314-863-1992,63112,"6199 Waterman Blvd, St Louis, MO, 63112",United Methodist,MO,
Greater Christland Church,314-533-2155,63112,"5731 Kennerly Ave, St Louis, MO, 63112",Other,MO,
Greater New Elevation Missionary Baptist Church,314-382-4008,63112,"2730 North Taylor Avenue, St Louis, MO, 63112",Missionary Baptist,MO,
Holy Temple Missionary Baptist Church,314-361-6824,63112,"1356 Belt Ave, St Louis, MO, 63112",Baptist,MO,
House Of Prayer,314-381-1252,63112,"1395 Blackstone Ave, St Louis, MO, 63112",Pentecostal,MO,
House Of Scriptures,314-383-5220,63112,"5346 Wabada Ave, St Louis, MO, 63112",Nondenominational,MO,
Jehovahs Witnesses,314-863-7412,63112,"5930 Delmar Blvd, St Louis, MO, 63112",Jehovah's Witnesses,MO,
Jeruslem Missionary Baptist Church,314-361-0480,63112,"PO Box 20345, St Louis, MO, 63112",Baptist,MO,
All Saints Baptist Church,314-531-2094,63113,"4260 E Page Blvd, St Louis, MO, 63113",Southern Baptist,MO,
Antioch Baptist Church,314-535-1110,63113,"4213 N Market St W, St Louis, MO, 63113",American Baptist,MO,
Asbury United Methodist Church,314-371-4863,63113,"4001 Maffitt Ave, St Louis, MO, 63113",Methodist,MO,
Azariah Missionary Baptist Church,314-531-8266,63113,"2424 N Spring Ave, St Louis, MO, 63113",Baptist,MO,
Berean Seventh Day Adventist Church,314-361-9086,63113,"1244 Union Blvd, St Louis, MO, 63113",Seventh-Day Adventist,MO,
Burning Bush Baptist Church,314-531-0960,63113,"1925 N Sarah St, St Louis, MO, 63113",Baptist,MO,
Catholic Family Services,314-652-7421,63113,"1911 N Taylor Ave, St Louis, MO, 63113",Roman Catholic,MO,
Centennial Christian Church,314-367-1818,63113,"4950 Fountain Ave, St Louis, MO, 63113",Christian (Disciples of Christ),MO,
Christ Temple Cathedral Church,314-533-5625,63113,"4301 Page Blvd, St Louis, MO, 63113",Interdenominational,MO,
Church Of Christ,314-652-5289,63113,"4229 W Page Blvd, St Louis, MO, 63113",Church of Christ,MO,
City of Refuge Christian Church,314-533-0890,63113,"1208 N Sarah St, St Louis, MO, 63113",Christian (Disciples of Christ),MO,
Divine Fellowship Heights Church,314-454-5886,63113,"4811 Page Blvd, St Louis, MO, 63113",Other,MO,
Elbethel Church God And Christ,314-531-0122,63113,"4020 Page Blvd, St Louis, MO, 63113",Interdenominational,MO,
Emmanuel Temple Church of God,3145243920,63113,"4935 Union Boulevard, St Louis, MO, 63113",Apostolic,MO,
